day,users_count,questions_count,answers_count,comments_count,reactions_count,follows_count,blocks_count,mutes_count,reports_count,themes_count,user_bans_count,inbox_count
2018-04-30,5,104,98,18,68,3,0,0,0,1,0,82
2018-05-01,0,52,50,12,63,0,0,0,1,0,0,185
2018-05-02,21,87,102,15,77,185,0,0,0,5,0,131
2018-05-03,4,51,65,9,49,88,0,0,0,0,0,98
2018-05-04,16,86,61,10,29,55,0,0,0,3,0,124
2018-05-05,6,73,53,5,34,4,0,0,0,0,0,81
2018-05-06,9,87,103,33,82,19,0,0,0,2,0,141
2018-05-07,2,59,55,5,32,8,0,0,0,0,0,89
2018-05-08,3,37,50,130,374,6,0,0,0,1,0,322
2018-05-09,1,51,86,20,56,9,0,0,0,0,0,106
2018-05-10,1,33,60,16,61,4,0,0,0,0,0,97
2018-05-11,1,66,80,34,35,3,0,0,0,0,0,97
2018-05-12,8,76,92,21,68,25,0,0,0,1,0,224
2018-05-13,3,69,74,17,46,6,0,0,1,3,0,105
2018-05-14,0,70,42,29,39,3,0,0,0,0,0,145
2018-05-15,1,64,50,8,34,0,0,0,0,0,0,233
2018-05-16,2,85,46,6,44,0,0,0,0,0,0,222
2018-05-17,3,39,69,21,64,3,0,0,0,0,0,61
2018-05-18,4,69,73,16,84,2,0,0,0,0,0,77
2018-05-19,2,42,48,9,63,4,0,0,0,1,0,149
2018-05-20,3,101,80,23,89,1,0,0,0,0,0,137
2018-05-21,5,118,99,15,70,7,0,0,0,0,0,250
2018-05-22,4,120,79,15,63,7,0,0,0,1,0,166
2018-05-23,2,130,99,37,74,2,0,0,0,0,0,232
2018-05-24,0,65,66,20,58,4,0,0,0,0,0,148
2018-05-25,5,59,44,7,27,8,0,0,0,0,0,72
2018-05-26,7,61,54,13,44,18,0,0,0,2,0,212
2018-05-27,2,95,122,10,57,8,0,0,1,0,0,212
2018-05-28,2,44,59,11,46,1,0,0,0,0,0,144
2018-05-29,9,86,70,22,40,8,0,0,0,1,0,323
2018-05-30,0,37,28,12,25,3,0,0,0,0,0,105
2018-05-31,1,54,43,154,210,1,0,0,0,2,0,172
2018-06-01,1,80,64,34,49,1,0,0,0,1,0,187
2018-06-02,4,81,106,32,67,4,0,0,0,0,0,340
2018-06-03,2,74,108,41,84,0,0,0,0,0,0,177
2018-06-04,5,93,118,59,118,36,0,0,0,2,0,189
2018-06-05,4,111,125,71,138,43,0,0,0,0,0,274
2018-06-06,5,87,89,67,120,37,0,0,0,2,0,92
2018-06-07,3,119,107,65,101,19,0,0,0,1,0,144
2018-06-08,2,68,74,46,101,4,0,0,0,0,0,146
